Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Palestine,West Bank,Salfit,PSE,PS0125,PS01,May,2016,0,0
Palestine,Gaza Strip,Deir El Balah,PSE,PS0265,PS02,May,2016,1,0
Palestine,West Bank,Tubas,PSE,PS0105,PS01,May,2016,0,0
Palestine,West Bank,Jenin,PSE,PS0101,PS01,May,2016,0,0
Palestine,West Bank,Nablus,PSE,PS0115,PS01,May,2016,0,0
Palestine,West Bank,Hebron,PSE,PS0150,PS01,May,2016,5,1
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,May,2016,15,3
Palestine,West Bank,Jericho,PSE,PS0135,PS01,May,2016,0,0
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,May,2016,10,6
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,May,2016,7,0
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,May,2016,0,0
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,June,2016,3,0
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,June,2016,0,0
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,June,2016,0,0
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,June,2016,0,0
Palestine,West Bank,Ramallah and Al Bireh,PSE,PS0130,PS01,June,2016,7,1
Palestine,West Bank,Salfit,PSE,PS0125,PS01,June,2016,0,0
Palestine,Gaza Strip,Deir El Balah,PSE,PS0265,PS02,June,2016,0,0
Palestine,West Bank,Tubas,PSE,PS0105,PS01,June,2016,0,0
Palestine,West Bank,Jenin,PSE,PS0101,PS01,June,2016,2,3
Palestine,West Bank,Nablus,PSE,PS0115,PS01,June,2016,7,3
Palestine,West Bank,Hebron,PSE,PS0150,PS01,June,2016,11,4
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,June,2016,18,0
Palestine,West Bank,Jericho,PSE,PS0135,PS01,June,2016,0,0
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,June,2016,3,0
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,June,2016,6,0
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,June,2016,2,1
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,July,2016,2,0
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,July,2016,1,0
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,July,2016,2,0
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,July,2016,1,0
Palestine,West Bank,Ramallah and Al Bireh,PSE,PS0130,PS01,July,2016,7,0
Palestine,West Bank,Salfit,PSE,PS0125,PS01,July,2016,2,0
Palestine,Gaza Strip,Deir El Balah,PSE,PS0265,PS02,July,2016,4,0
Palestine,West Bank,Tubas,PSE,PS0105,PS01,July,2016,0,0
Palestine,West Bank,Jenin,PSE,PS0101,PS01,July,2016,1,0
Palestine,West Bank,Nablus,PSE,PS0115,PS01,July,2016,3,1
Palestine,West Bank,Hebron,PSE,PS0150,PS01,July,2016,16,6
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,July,2016,6,3
Palestine,West Bank,Jericho,PSE,PS0135,PS01,July,2016,0,0
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,July,2016,6,0
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,July,2016,8,0
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,July,2016,0,0
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,August,2016,2,0
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,August,2016,1,0
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,August,2016,1,0
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,August,2016,0,0
Palestine,West Bank,Ramallah and Al Bireh,PSE,PS0130,PS01,August,2016,4,1
Palestine,West Bank,Salfit,PSE,PS0125,PS01,August,2016,2,1
Palestine,Gaza Strip,Deir El Balah,PSE,PS0265,PS02,August,2016,3,0
Palestine,West Bank,Tubas,PSE,PS0105,PS01,August,2016,1,0
Palestine,West Bank,Jenin,PSE,PS0101,PS01,August,2016,5,0
Palestine,West Bank,Nablus,PSE,PS0115,PS01,August,2016,8,1
Palestine,West Bank,Hebron,PSE,PS0150,PS01,August,2016,9,3
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,August,2016,8,0
Palestine,West Bank,Jericho,PSE,PS0135,PS01,August,2016,0,0
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,August,2016,3,0
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,August,2016,7,0
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,August,2016,0,0
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,September,2016,2,0
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,September,2016,0,0
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,September,2016,7,0
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,September,2016,1,0
Palestine,West Bank,Ramallah and Al Bireh,PSE,PS0130,PS01,September,2016,2,0
Palestine,West Bank,Salfit,PSE,PS0125,PS01,September,2016,0,0
Palestine,Gaza Strip,Deir El Balah,PSE,PS0265,PS02,September,2016,4,1
Palestine,West Bank,Tubas,PSE,PS0105,PS01,September,2016,0,0
Palestine,West Bank,Jenin,PSE,PS0101,PS01,September,2016,3,0
Palestine,West Bank,Nablus,PSE,PS0115,PS01,September,2016,9,1
Palestine,West Bank,Hebron,PSE,PS0150,PS01,September,2016,13,7
Palestine,West Bank,Al Quds,PSE,PS0140,PS01,September,2016,8,4
Palestine,West Bank,Jericho,PSE,PS0135,PS01,September,2016,0,0
Palestine,Gaza Strip,Gaza City,PSE,PS0260,PS02,September,2016,6,1
Palestine,West Bank,Bethlehem,PSE,PS0145,PS01,September,2016,4,1
Palestine,West Bank,Tulkarm,PSE,PS0110,PS01,September,2016,2,1
Palestine,West Bank,Qalqilya,PSE,PS0120,PS01,October,2016,1,0
Palestine,Gaza Strip,Rafah,PSE,PS0275,PS02,October,2016,1,0
Palestine,Gaza Strip,North Gaza,PSE,PS0255,PS02,October,2016,3,0
Palestine,Gaza Strip,Khan Yunis,PSE,PS0270,PS02,October,2016,2,2
Palestine,West Bank,Ramallah and Al Bireh,PSE,PS0130,PS01,October,2016,7,2
Palestine,West Bank,Salfit,PSE,PS0125,PS01,October,2016,1,1
Palestine,Gaza Strip,Deir El Balah,PSE,PS0265,PS02,October,2016,3,0
Palestine,West Bank,Tubas,PSE,PS0105,PS01,October,2016,1,0
Palestine,West Bank,Jenin,PSE,PS0101,PS01,October,2016,5,0
Palestine,West Bank,Nablus,PSE,PS0115,PS01,October,2016,13,1
